DATE,A939RX0Q048SBEA_PCH,FNDEFX_PCH,FDEFX_PCH,GCE_PCH,SLCE_PCH
2000-10-01,0.33184,-0.41025,1.43856,1.59245,2.04793
2001-01-01,-0.55589,3.01526,1.97004,2.41773,2.44491
2001-04-01,0.38869,2.96920,1.37617,2.17589,2.27658
2001-07-01,-0.66061,1.10027,1.31627,0.29147,-0.19821
2001-10-01,0.01808,1.97430,1.76472,2.01361,2.10241
2002-01-01,0.61869,3.40196,4.29450,2.37201,1.54137
2002-04-01,0.38929,3.35118,2.62483,1.68980,1.03659
2002-07-01,0.15114,2.08303,1.70439,1.29064,0.98393
2002-10-01,-0.11914,1.71016,4.77346,1.95007,1.04080
2003-01-01,0.31808,1.58996,2.65847,1.39005,0.89972
2003-04-01,0.66188,2.11319,5.44573,1.23310,-0.46858
2003-07-01,1.40956,1.71161,0.39871,0.98413,1.04551
2003-10-01,0.92017,0.61893,3.80832,1.38405,0.63900
2004-01-01,0.37125,1.44363,2.23947,1.57385,1.34344
2004-04-01,0.55578,1.92333,1.20292,1.49078,1.50743
2004-07-01,0.69755,0.02735,3.17320,1.53787,1.23534
2004-10-01,0.77032,2.48190,-0.15051,1.37822,1.74453
2005-01-01,0.89591,1.09522,3.20648,1.56105,1.01993
2005-04-01,0.27737,-0.03359,1.26417,1.07611,1.24840
2005-07-01,0.52907,2.01232,1.71754,1.72055,1.65754
2005-10-01,0.30285,1.96645,0.09247,1.36279,1.73838
2006-01-01,1.12304,4.22798,3.04055,2.04293,1.16547
2006-04-01,0.03277,-1.14543,0.66649,1.18132,1.91924
2006-07-01,-0.10738,1.64134,-1.18461,0.75520,1.32837
2006-10-01,0.60125,-0.88164,3.61067,1.67944,1.50119
2007-01-01,0.07969,0.85281,-0.09203,1.64658,2.50522
2007-04-01,0.38726,1.49639,2.97538,1.89322,1.56143
2007-07-01,0.31546,1.64128,1.53379,1.39930,1.29528
2007-10-01,0.37377,1.84260,2.85292,2.00586,1.70943
2008-01-01,-0.64450,2.26925,2.45288,1.55609,1.04855
2008-04-01,0.37480,3.69901,2.91619,2.13092,1.47604
2008-07-01,-0.76654,-0.10361,3.23572,1.93126,1.85167
2008-10-01,-2.41868,1.03620,0.69898,-0.23790,-0.90107
2009-01-01,-1.33479,2.85206,-0.80234,0.00731,-0.28387
2009-04-01,-0.38331,2.56597,2.28447,1.60173,1.09684
2009-07-01,0.12072,1.13291,1.26285,0.70367,0.36834
2009-10-01,0.84776,2.66367,2.05802,0.92941,0.04421
2010-01-01,0.28395,3.08690,1.03693,0.41730,-0.49168
2010-04-01,0.77678,3.50482,1.28929,1.01949,0.28343
2010-07-01,0.55638,-0.32683,0.10301,-0.23587,-0.36341
2010-10-01,0.30882,0.00105,1.02895,0.19048,-0.13587
2011-01-01,-0.41782,-0.22337,-0.69761,-0.27017,-0.08880
2011-04-01,0.49502,-0.98886,1.37604,0.39588,0.31041
2011-07-01,-0.23439,-3.41072,-0.95548,-0.98915,-0.39148
2011-10-01,0.91223,2.58026,-1.03668,-0.19628,-0.49814
2012-01-01,0.66025,1.42528,-0.27144,0.42351,0.48226
2012-04-01,0.26743,0.12012,-0.97879,-0.43212,-0.32945
2012-07-01,-0.06488,0.21012,0.51519,0.27709,0.18878
2012-10-01,-0.09197,-0.08573,-2.90327,-0.21675,0.94379
2013-01-01,0.82306,-1.64212,-2.72727,-0.28267,1.10783
2013-04-01,0.09846,-0.73507,-0.52886,0.24617,0.80743
2013-07-01,0.64027,0.00043,-1.67704,0.12931,0.89377
2013-10-01,0.65752,0.20001,-0.43687,0.16985,0.40260
2014-01-01,-0.52435,1.09007,-1.24146,-0.04639,0.14881
2014-04-01,1.10569,0.13164,-0.34444,0.48760,0.89584
2014-07-01,0.99705,1.50267,1.69998,1.18512,0.91186
2014-10-01,0.28852,0.91399,-2.81760,-0.07820,0.73586
2015-01-01,0.72614,1.26700,-0.48571,-0.04195,-0.19514
2015-04-01,0.43874,0.57691,0.45809,1.44772,2.02888
2015-07-01,0.18843,1.39719,-0.92959,0.60255,0.96815
2015-10-01,-0.02736,0.68756,0.58867,0.14102,-0.15247
2016-01-01,0.40021,0.80669,-0.61025,0.36828,0.61305
2016-04-01,0.14139,0.73742,-0.46453,0.59401,0.93561
2016-07-01,0.50521,0.27407,1.37257,0.77837,0.69378
2016-10-01,0.35881,1.05391,0.24908,0.66585,0.71808
2017-01-01,0.33392,0.05647,0.04341,0.47497,0.72971
2017-04-01,0.40676,-0.29055,1.66721,0.51737,0.31288
2017-07-01,0.60767,0.97511,-0.03599,0.84387,1.12362
2017-10-01,0.95675,1.95960,2.13709,1.97862,1.92770
2018-01-01,0.69058,2.94963,1.30294,1.37730,1.02213
2018-04-01,0.39775,1.09033,1.63139,1.61756,1.74297
2018-07-01,0.46628,1.36365,2.12508,1.55070,1.39482
2018-10-01,-0.00487,-0.00126,2.04983,0.68286,0.36693
2019-01-01,0.43818,0.87879,2.54584,1.47086,1.22883
2019-04-01,0.71418,1.62986,0.21673,1.71732,2.28561
2019-07-01,0.98506,0.99161,1.88290,1.41477,1.35007
2019-10-01,0.49567,0.02343,0.96312,1.14796,1.48561
2020-01-01,-1.46071,2.15816,1.19433,2.02590,2.29154
2020-04-01,-7.93641,17.91662,-0.04760,1.96295,-1.11536
2020-07-01,7.70223,-6.85399,0.63008,-0.62369,0.69286
2020-10-01,0.98372,-3.24150,2.79714,0.55901,0.75567
2021-01-01,1.30259,13.69591,-0.79072,3.12384,1.88986
2021-04-01,1.47089,-2.82986,-0.15079,0.39427,1.49267
2021-07-01,0.71387,-2.03353,0.22525,0.99373,2.07549
2021-10-01,1.60334,3.85258,-0.00578,1.54989,1.48885
2022-01-01,-0.55597,-0.59595,0.38033,1.28335,2.08416
2022-04-01,-0.24354,-1.61862,2.42546,2.18151,3.07731
2022-07-01,0.51438,2.64388,0.63557,1.40814,1.35974
2022-10-01,0.49036,4.19466,2.77633,2.11157,1.37644
2023-01-01,0.44844,3.58828,1.30617,1.56333,1.13169
2023-04-01,0.39801,0.46461,1.04674,0.55811,0.42005
